name,Address,sale_price_range,en_bloc_prob
Sculptura Ardmore,"8 Ardmore Park, singapore 259963","S$ 13,736,000
  -
  S$ 56,800,000",null
Sea Avenue Residences,"11 Sea Avenue, singapore 424228","S$ 2,500,000
  -
  S$ 2,500,000",20%-39%
Sea Esta,"26 Pasir Ris Link, singapore 518145","S$ 658,000
  -
  S$ 1,845,000",<20%
Sea Pavilion Residences,"494 Upper East Coast Road, singapore 466522","S$ 980,000
  -
  S$ 2,780,000",null
Seahill,"00 West Coast Crescent, singapore 126000","S$ 698,000
  -
  S$ 4,406,800",<20%
Seastrand,"11 Pasir Ris Link, singapore 518180","S$ 678,000
  -
  S$ 1,830,000",<20%
Seaview Park,"440 Tanjong Katong Road, singapore 437149",null,null
Seaview Point,"15 Amber Road, singapore 439865",null,>80%
Selanting Green,"1 Jalan Selanting, singapore 598368",null,60%-79%
Seletar Park Residence,"17 Seletar Road, singapore 807019","S$ 660,000
  -
  S$ 1,950,000",<20%
Sengkang Grand Residences,"74 Compassvale Bow, singapore 544567",null,null
Sennett Residence,"31 Pheng Geck Avenue, singapore 348226","S$ 788,000
  -
  S$ 4,388,888",<20%
Seraya Residences,"12 Seraya Lane, singapore 437279","S$ 1,800,000
  -
  S$ 1,800,000",null
Seraya Ville,"11 Seraya Lane, singapore 437278","S$ 1,880,000
  -
  S$ 1,880,000",>80%
Serenity Park,"157A Tamarind Road, singapore 806105","S$ 1,500,000
  -
  S$ 1,880,000",60%-79%
Seven Holt Road,"7 Holt Road, singapore 249445","S$ 3,600,000
  -
  S$ 3,600,000",null
Seven Nassim,"7 Nassim Road, singapore 258374","S$ 13,800,000
  -
  S$ 13,800,000",null
Seven Palms Sentosa Cove,"153 Cove Drive, singapore 098182","S$ 8,500,000
  -
  S$ 19,300,000",<20%
Seventy St Patrick's,"70 Saint Patrick's Road, singapore 424175","S$ 1,540,000
  -
  S$ 2,550,000",null
Shan Court,"12 - 14 Shan Road, singapore 328105",null,null
Shangri-La Residences,"1 Anderson Road, singapore 259983",null,null
Shelford Condominium,"1C Shelford Road, singapore 286888",null,null
Shelford Garden,"17E Shelford Road, singapore 288388",null,null
Shelford Green,"9 Shelford Road, singapore 288352",null,>80%
Shelford View,"26 Shelford Road, singapore 288420",null,>80%
Sherwood Condo,"169 Jalan Jurong Kechil, singapore 598669","S$ 1,230,000
  -
  S$ 1,890,000",null
Siglap Lodge,"95 Upper East Coast Road, singapore 455231",null,40%-59%
Siglap V,"2 First Street, singapore 458278","S$ 740,000
  -
  S$ 2,100,000",<20%
Signature at Lewis,"1 Lewis Road, singapore 258617","S$ 1,140,000
  -
  S$ 1,700,000",20%-39%
Signature Crest,"9 Gray Lane, singapore 438951",null,40%-59%
Signature Park,"46 Toh Tuck Road, singapore 596721","S$ 1,700,000
  -
  S$ 2,488,888",<20%
Silversea,", singapore 428348","S$ 1,750,000
  -
  S$ 16,342,200",<20%
Sims Edge,"1 Geylang East Avenue 2, singapore 389760","S$ 970,000
  -
  S$ 980,000",<20%
Sims Meadows,"8 Lorong 33 Geylang, singapore 387977",null,40%-59%
Sims Point,"4 Lorong 19 Geylang, singapore 388489",null,>80%
Sims Urban Oasis,"2 Sims Drive, singapore 387386","S$ 750,000
  -
  S$ 2,780,000",null
Sin Chuan Garden,"1 Waringin Walk, singapore 416274","S$ 8,800,000
  -
  S$ 8,800,000",null
Sixteen35 Residences,"16 Lorong 35 Geylang, singapore 387946","S$ 928,000
  -
  S$ 1,400,000",null
Sixth Avenue Ville,"43 Sixth Avenue, singapore 276484",null,60%-79%
Skies Miltonia,", singapore 768048","S$ 638,000
  -
  S$ 3,541,000",<20%
Sky Everton,"42 Everton Road, singapore 089394","S$ 1,400,000
  -
  S$ 7,106,000",null
Sky Green,"568 Macpherson Green, singapore 368236","S$ 840,000
  -
  S$ 1,880,000",<20%
Sky Habitat,"7 Bishan Street 15, singapore 573908","S$ 1,150,000
  -
  S$ 6,180,000",<20%
Sky Vue,"00 Bishan Street 14, singapore 573000","S$ 920,000
  -
  S$ 4,500,000",<20%
Skyline @ Orchard Boulevard,"23 Angullia Park, singapore 239975","S$ 5,667,210
  -
  S$ 55,000,000",<20%
Skyline 360,"70 St Thomas Walk, singapore 238139","S$ 4,000,000
  -
  S$ 11,000,000",null
Skyline Residences,"610 Telok Blangah Road, singapore 109025","S$ 1,080,000
  -
  S$ 3,800,000",<20%
Skysuites @ Anson,"8 Enggor Street, singapore 079718","S$ 838,888
  -
  S$ 2,500,000",null
Sloane Residences,"17 Balmoral Road, singapore 259803","S$ 2,188,800
  -
  S$ 8,000,000",null
Smailing Court,"52 Lorong Mydin, singapore 416851",null,40%-59%
Smart Suites,"302 Sims Avenue, singapore 387516","S$ 698,000
  -
  S$ 1,300,000",<20%
Soleil @ Sinaran,"2 Sinaran Drive, singapore 307467","S$ 1,030,000
  -
  S$ 3,750,000",<20%
Sommerville Grandeur,"1 Farrer Drive, singapore 259275",null,60%-79%
Sommerville Loft,"7 Sommerville Walk, singapore 358178",null,40%-59%
Sophia 88,"88 Sophia Road, singapore 228188",null,null
Sophia 98,"98 Sophia Road, singapore 228165","S$ 1,800,000
  -
  S$ 1,800,000",40%-59%
Sophia Court,"32 Adis Road, singapore 229978",null,null
Sophia Hills,"5 Mount Sophia, singapore 228453","S$ 1,030,000
  -
  S$ 2,530,000",null
Sophia Residence,"5 Sophia Road, singapore 228191","S$ 1,499,999
  -
  S$ 4,000,000",<20%
South Beach Residences,"28 South Beach Road, singapore 189762","S$ 3,500,000
  -
  S$ 18,988,000",null
Spanish Village,"56 Farrer Road, singapore 268844","S$ 1,800,000
  -
  S$ 3,500,000",>80%
Spazio @ Kovan,"767 Upper Serangoon Road, singapore 534635","S$ 860,000
  -
  S$ 1,695,000",<20%
Spottiswoode 18,"18 Spottiswoode Park Road, singapore 088642","S$ 888,888
  -
  S$ 2,350,000",<20%
Spottiswoode Residences,"48 Spottiswoode Park Road, singapore 088660","S$ 1,299,999
  -
  S$ 5,000,000",<20%
Spottiswoode Suites,"14 Spottiswoode Park Road, singapore 088641","S$ 1,000,000
  -
  S$ 2,250,000",null
Springdale Condo,"53 Hindhede Walk, singapore 587974","S$ 1,615,000
  -
  S$ 1,700,000",null
St Michael Regency,"38 St. Michael Road, singapore 328008","S$ 1,320,000
  -
  S$ 3,480,000",20%-39%
St Michael's Condo,"19 Saint Michael's Road, singapore 327978","S$ 1,280,000
  -
  S$ 1,599,999",null
St Michael's Place,"1 Jalan Taman, singapore 329022","S$ 1,530,000
  -
  S$ 1,680,000",60%-79%
St Thomas Court,"40 Saint Thomas Walk, singapore 238120",null,>80%
St Thomas Lodge,"32 St Thomas Walk, singapore 238112",null,null
St Thomas Ville,"38 Saint Thomas Walk, singapore 238118",null,60%-79%
St. Patrick's Green,"49 St. Patrick's Road, singapore 424167","S$ 1,880,000
  -
  S$ 1,880,000",null
Stadia,"27 Yio Chu Kang Road, singapore 545542","S$ 780,000
  -
  S$ 1,200,000",20%-39%
Starlight Suites,"11 River Valley Close, singapore 238437","S$ 1,220,000
  -
  S$ 5,355,000",<20%
Starpoint,"319 Pasir Panjang Road, singapore 118653",null,null
Stars of Kovan,"984 Upper Serangoon Road, singapore 533854","S$ 845,000
  -
  S$ 1,780,000",null
Stellar RV,"408 River Valley Road, singapore 248306","S$ 875,000
  -
  S$ 1,780,000",<20%
Stevens Suites,"2 Stevens Close, singapore 257940","S$ 1,250,000
  -
  S$ 2,300,000",<20%
Still Mansion,"2 Still Road, singapore 423950",null,null
Straits Mansions,"26 Sea Avenue, singapore 424246","S$ 1,680,000
  -
  S$ 1,680,000",null
Stratum,"80 Elias Road, singapore 519945","S$ 598,000
  -
  S$ 2,045,000",<20%
Studio8,"8 Jalan Ayer, singapore 389144","S$ 698,000
  -
  S$ 1,290,000",<20%
Studios@Tembeling,"233 Tembeling Road, singapore 423718","S$ 999,999
  -
  S$ 2,000,000",<20%
Sturdee Residences,"10 Beatty Road, singapore 209955","S$ 810,000
  -
  S$ 2,860,000",null
Sturdee View,"60 Sturdee Road North, singapore 207851",null,60%-79%
Sui Generis,"9 Balmoral Crescent, singapore 259902","S$ 5,000,000
  -
  S$ 5,000,000",20%-39%
Suites @ Amber,"30 Amber Road, singapore 439874","S$ 968,000
  -
  S$ 968,000",20%-39%
Suites @ Bukit Timah,"68 Jalan Jurong Kechil, singapore 596180",null,null
Suites @ Cairnhill,"138 Cairnhill Road, singapore 229719",null,20%-39%
Suites @ East Coast,"171 Upper East Coast Road, singapore 455273","S$ 599,999
  -
  S$ 2,288,888",null
Suites @ Eunos,"1 Jalan Yasin, singapore 417958","S$ 649,000
  -
  S$ 838,000",20%-39%
Suites @ Katong,"263 Tanjong Katong Road, singapore 437050","S$ 609,000
  -
  S$ 1,050,000",null
Suites @ Kovan,"981 Upper Serangoon Road, singapore 534729","S$ 688,888
  -
  S$ 1,399,000",20%-39%
Suites @ Paya Lebar,"420 Upper Paya Lebar Road, singapore 534049","S$ 598,000
  -
  S$ 1,500,000",<20%
Suites @ Shrewsbury,"84 Shrewsbury Road, singapore 307842","S$ 620,000
  -
  S$ 1,430,000",20%-39%
Suites @ Sims,"468 Sims Ave, singapore 387544","S$ 620,000
  -
  S$ 1,099,999",<20%
Suites @ Topaz,"3 Topaz Road, singapore 327849","S$ 980,000
  -
  S$ 1,620,000",<20%
Suites at Bukit Timah,"68 Jalan Jurong Kechil, singapore 596180","S$ 900,000
  -
  S$ 1,050,000",<20%
Suites at Orchard,"38 Handy Road, singapore 229239","S$ 1,250,000
  -
  S$ 3,090,000",<20%
Suites De Laurel,"2 Jalan Anak Bukit, singapore 588997","S$ 799,000
  -
  S$ 1,650,000",<20%
Suites Twenty Two,"25 Lorong G Telok Kurau, singapore 426194","S$ 1,580,000
  -
  S$ 1,580,000",null
Sultan Gate Place,"1 Sultan Gate, singapore 198474",null,>80%
Summer Green,"11 Boon Teck Road, singapore 329585",null,60%-79%
Summer Grove,"2 Recreation Road, singapore 546491",null,null
Summer Scent,"11A Kang Choo Bin Road, singapore 548271","S$ 1,280,000
  -
  S$ 1,800,000",20%-39%
Sun Rosier,"5 How Sun Drive, singapore 538527",null,>80%
Sunflower Court,"30 Lorong 6 Geylang, singapore 399182",null,40%-59%
Sunflower Lodge,"9 Lorong 34 Geylang, singapore 398207","S$ 1,150,000
  -
  S$ 1,150,000",40%-59%
Sunflower Mansions,"17 Lorong 26 Geylang, singapore 398489",null,60%-79%
Sunflower Residence,", singapore 398300",null,40%-59%
Sunflower View,"3 Lorong 36 Geylang, singapore 398162",null,40%-59%
Sunny Grove,"5A Lorong 37 Geylang, singapore 387914","S$ 1,350,000
  -
  S$ 1,350,000",60%-79%
Sunnyvale Residences,"134B Lorong K Telok Kurau, singapore 425773","S$ 1,550,000
  -
  S$ 1,550,000",null
Sunset Lodge,"7 Sunset Close, singapore 597522",null,null
Sunshine Lodge,"510 Upper Serangoon Road, singapore 534530","S$ 2,500,000
  -
  S$ 2,500,000",60%-79%
Sunshine Loft,"2 Lorong L Telok Kurau, singapore 425600","S$ 1,050,000
  -
  S$ 1,050,000",40%-59%
Sunshine Residences,"61 Lorong K Telok Kurau, singapore 425671",null,null
Surrey Court,"12 Surrey Court, singapore 307750",null,null
Sutton Place,"24 Farrer Road, singapore 268829",null,>80%
Symphony Suites,"1 Yishun Close, singapore 768004","S$ 815,888
  -
  S$ 1,399,999",null
Taipan Grand,"501 Marine Parade Road, singapore 449303","S$ 1,930,000
  -
  S$ 1,930,000",20%-39%
Tan Chin Tuan Mansion,"42 Cairnhill Road, singapore 229661",null,null
Tan Tong Meng Tower,"370 Thomson Road, singapore 298128",null,>80%
Tanah Merah Mansion,"137 Tanah Merah Kechil Road, singapore 466671","S$ 1,100,000
  -
  S$ 1,100,000",>80%
Tanjong Ria Condominium,"121 Tanjong Rhu Road, singapore 436914","S$ 800,000
  -
  S$ 2,000,000",60%-79%
Tat Lee Court,"17 West Coast Rise, singapore 127462",null,null
Teck Guan Ville,"338 Upper East Coast Road, singapore 466458",null,null
Tedge,"326 Changi Road, singapore 419801","S$ 1,200,000
  -
  S$ 1,817,788",null
Tekka Place,"2 Serangoon Rd, singapore 218227",null,null
Tembeling Court,"86 Tembeling Road, singapore 423596",null,20%-39%
Tembeling Grove,"238, Tembeling Road, singapore 423722",null,>80%
Tembeling Residence,"246 Tembeling Road, singapore 423725","S$ 730,000
  -
  S$ 730,000",20%-39%
Terrasse,"21 Yio Chu Kang Road, singapore 544773","S$ 808,000
  -
  S$ 2,380,000",<20%
Terrene at Bukit Timah,"2 Toh Tuck Road, singapore 596677","S$ 900,000
  -
  S$ 2,317,000",<20%
Tessa Lodge,", singapore 213233",null,20%-39%
The Adara,"9 Chapel Road, singapore 429515",null,20%-39%
The Addition,"21 Meyappa Chettiar Road , singapore 358461","S$ 1,250,000
  -
  S$ 1,600,000",null
The Alps Residences,"00 Tampines Avenue 10, singapore 519999","S$ 668,000
  -
  S$ 1,700,000",null
The Ambra,"97 Lor H Telok Kurau, singapore 426117",null,20%-39%
The Amery,"16 Lorong K Telok Kurau, singapore 425612",null,20%-39%
The Ansley,"33 Mandalay Road, singapore 308214","S$ 1,138,000
  -
  S$ 2,600,000",20%-39%
The Ansley,"33 Mandalay Road, singapore 308214","S$ 1,138,000
  -
  S$ 2,600,000",20%-39%
The Antares,"19 Mattar Road, singapore 387728","S$ 923,000
  -
  S$ 2,300,000",null
The Arden,"2 Phoenix Road, singapore 668156",null,null
The Ardmore,"6 Ardmore Park, singapore 259953",null,null
The Areca,"27K Bunga Rampai Place, singapore 534221",null,null
The Ariel,"31 Lorong 105 Changi, singapore 426536","S$ 949,999
  -
  S$ 950,000",20%-39%
The Armadale,"60 Gilstead Road, singapore 309104","S$ 1,850,000
  -
  S$ 1,850,000",40%-59%
The Arte,"21 Jalan Raja Udang, singapore 329215","S$ 2,500,000
  -
  S$ 3,300,000",<20%
The Asana,"17 and 19 Queen’s Road, singapore 269999","S$ 1,000,000
  -
  S$ 1,850,000",null
The Aspine,"5 Balmoral Road, singapore 259786",null,null
The Asteria,"9 Martia Rd, singapore 424796",null,null
The Aston,"2 Kay Poh Road, singapore 248973","S$ 1,260,000
  -
  S$ 2,719,500",40%-59%
The Aston,"2 Kay Poh Road, singapore 248973","S$ 1,260,000
  -
  S$ 2,719,500",40%-59%
The Atelier,"2 Makeway Avenue, singapore 228599","S$ 1,388,500
  -
  S$ 4,680,000",null
The Avenir,"8 River Valley Close, singapore 238432","S$ 1,380,000
  -
  S$ 8,091,000",null
The Balmoral,"14 Balmoral Park, singapore 259846",null,null
The Balmoral Spring,", singapore 259886","S$ 2,538,000
  -
  S$ 2,850,000",60%-79%
The Baycourt,"461A Upper East Coast Road, singapore 466507",null,>80%
The Bayron,"49 Saint Thomas Walk, singapore 238140",null,60%-79%
The Bayshore,"22 Bayshore Road, singapore 469970","S$ 950,000
  -
  S$ 8,637,429",<20%
The Belmont,"1 Belmont Road, singapore 269852",null,>80%
The Blissville,"971 Bukit Timah Road, singapore 589647",null,null
The Boutiq @ Killiney,"145 Killiney Road, singapore 239565","S$ 1,220,000
  -
  S$ 3,580,000",null
The Cairnhill,"4 Cairnhill Rise, singapore 229740",null,null
The Calypso,"500 Upper East Coast Road, singapore 465540","S$ 2,850,000
  -
  S$ 2,850,000",20%-39%
The Carpmaelina,"48 Carpmael Road, singapore 429974",null,20%-39%
The Chatelet,"15 Margoliouth Road, singapore 258539",null,null
The Clayton,"36 Ewe Boon Road, singapore 259333",null,40%-59%
The Clement Canopy,"Ave 1 Clementi, singapore 120000","S$ 1,100,000
  -
  S$ 2,200,000",null
The Colonnade,"82 Grange Road, singapore 249587",null,null
The Commodore,"59 Canberra Drive, singapore 752110","S$ 600,000
  -
  S$ 2,656,000",null
The Creek @ Bukit,"17 Toh Tuck Road, singapore 596155","S$ 808,000
  -
  S$ 2,800,000",null
The Crest,"101 Prince Charles Crescent, singapore 159017","S$ 1,260,000
  -
  S$ 3,900,000",<20%
The Cristallo,"70 Lorong K Telok Kurau, singapore 425687","S$ 680,000
  -
  S$ 1,500,000",<20%
The Dairy Farm,"1 Dairy Farm Road, singapore 679033","S$ 1,080,000
  -
  S$ 2,350,000",>80%
The Dairy Farm,"1 Dairy Farm Road, singapore 679033","S$ 1,080,000
  -
  S$ 2,350,000",>80%
The Eastside,"507 Joo Chiat Road, singapore 427693","S$ 1,849,999
  -
  S$ 1,850,000",20%-39%
The Ebony,"35 Lorong Marican, singapore 417216","S$ 610,000
  -
  S$ 13,600,000",<20%
The Eden @ Tampines,"21 Tampines Street 34, singapore 529232","S$ 840,000
  -
  S$ 1,200,000",null
The Edgewater,"211 Jalan Loyang Besar, singapore 509504","S$ 1,100,000
  -
  S$ 2,100,000",40%-59%
The Elegance @ Changi,"30 Lorong 107 Changi, singapore 426446",null,20%-39%
The Enclave Holland,"131 Holland Road, singapore 278569","S$ 1,200,000
  -
  S$ 1,600,000",null
The Essence,"1 Chong Kuo Road, singapore 779830","S$ 750,000
  -
  S$ 9,180,000",null
The Estoril,"95 Holland Road, singapore 278539",null,>80%
The Estrella,"342 PASIR PANJANG ROAD, singapore 118676",null,null
The Estuary @ Yishun,"1 Yishun Avenue 1, singapore 769130","S$ 688,888
  -
  S$ 1,430,000",null
The Florence Residences,"713 Hougang Avenue 2, singapore 530713","S$ 677,999
  -
  S$ 2,848,000",null
The Ford @ Holland,"1 Ford Avenue, singapore 268685","S$ 1,280,000
  -
  S$ 2,750,000",20%-39%
The Foresta @ Mount Faber,"100 Wishart Road, singapore 098748","S$ 870,000
  -
  S$ 1,880,000",<20%
The Gale,"64 Flora Road, singapore 506911","S$ 799,999
  -
  S$ 1,208,000",<20%
The Garden Residences,"1 Serangoon North View, singapore 554343","S$ 790,000
  -
  S$ 2,880,000",null
The Gazania,"5 How Sun Drive, singapore 538527","S$ 887,999
  -
  S$ 25,794,132",null
The Glacier,"260 Joo Chiat Place, singapore 427941",null,40%-59%
The Glades,"12 Bedok Rise, singapore 465407","S$ 700,000
  -
  S$ 3,090,000",<20%
The Glyndebourne,"38 Trevose Crescent, singapore 297722","S$ 2,168,888
  -
  S$ 7,600,000",<20%
The Grandiflora,"121 Lorong L Telok Kurau, singapore 425554",null,40%-59%
The Hacienda,"1 Hacienda Grove, singapore 457908","S$ 1,930,000
  -
  S$ 1,930,000",>80%
The Hillford,"178 Jln Jurong Kechil, singapore 596150","S$ 537,000
  -
  S$ 900,000",<20%
The Hillier,"2 Hillview Rise, singapore 667978","S$ 760,000
  -
  S$ 1,400,000",<20%
The Hilloft,"127 Jalan Dermawan, singapore 669077",null,null
The Horizon,"1 Holt Road, singapore 249441",null,40%-59%
The Huntington,"190 Moulmein Road, singapore 308095","S$ 1,958,888
  -
  S$ 2,150,000",60%-79%
The Hyde,"11 Balmoral Road, singapore 259796","S$ 1,350,000
  -
  S$ 6,088,000",null
The Inflora,"59 Flora Drive, singapore 506846","S$ 580,000
  -
  S$ 1,880,000",<20%
The Interlace,"180 Depot Road, singapore 109684","S$ 1,498,000
  -
  S$ 6,880,000",<20%
The Interweave,"21 Kim Keat Road, singapore 328805","S$ 638,000
  -
  S$ 1,090,000",<20%
The Iveria,"2 Kim Yam Road, singapore 239320","S$ 2,000,000
  -
  S$ 2,600,000",null
The Jovell,"19 Flora Drive, singapore 506760","S$ 658,000
  -
  S$ 1,772,400",null
The Lakefront Residences,"48 Lakeside Drive, singapore 648305","S$ 750,000
  -
  S$ 1,880,000",<20%
The Lanai,"140 Hillview Avenue, singapore 669600","S$ 1,450,000
  -
  S$ 2,050,000",<20%
The Lattiz,"3D Jalan Salleh, singapore 416751",null,20%-39%
The Laurels @ Cairnhill Road,"38 Cairnhill Road, singapore 229658","S$ 1,550,000
  -
  S$ 11,800,000",null
The Lighthouse,"161 Jalan Loyang Besar, singapore 509408","S$ 900,000
  -
  S$ 900,000",null
The Lilium,"31 How Sun Road, singapore 538500","S$ 899,999
  -
  S$ 3,819,300",null
The Lincoln Residences,"28 Surrey Road, singapore 307762","S$ 3,000,000
  -
  S$ 3,000,000",<20%
The Line@Tanjong Rhu,"6 Tanjong Rhu Road, singapore 436883","S$ 900,000
  -
  S$ 8,569,000",null
The LINQ @ Beauty World,"118 Upper Bukit Timah Road, singapore 588173","S$ 3,330,000
  -
  S$ 3,332,000",null
The Lucent,"99 Lorong N Telok Kurau, singapore 425251",null,20%-39%
The Lush,"32 Duku Road, singapore 429190",null,<20%
The Luxe,"6 Handy Road, singapore 229234",null,null
The Luxurie,"11 Compassvale Road, singapore 544749","S$ 700,000
  -
  S$ 1,688,888",<20%
The M,"30 Middle Road, singapore 188940","S$ 1,134,999
  -
  S$ 2,292,000",null
The Medley,"66 Lor G Telok Kurau, singapore 426248",null,20%-39%
The Mercury,"38 Shanghai Road, singapore 248201","S$ 1,288,888
  -
  S$ 1,380,000",<20%
The Mergui,"239 Rangoon Road, singapore 218468",null,null
The Meyerise,"97 Meyer Road, singapore 437918","S$ 1,700,000
  -
  S$ 5,100,000",<20%
The Minton,"147 Hougang Street 11, singapore 530147","S$ 729,000
  -
  S$ 1,800,000",<20%
The Montana,"8 Jalan Mutiara, singapore 249188","S$ 1,250,000
  -
  S$ 3,850,000",40%-59%
The Morningside,"1 Jalan Kuala, singapore 239639","S$ 3,600,000
  -
  S$ 7,000,000",>80%
The Mornington,"16 Saint Michael's Road, singapore 328005",null,40%-59%
The Nassim,"18 Nassim Hill, singapore 258485","S$ 8,380,000
  -
  S$ 45,000,000",<20%
The Nautical,"93 Jalan Sendudok, singapore 769472","S$ 950,000
  -
  S$ 1,788,888",<20%
The Navian,"00 Jalan Eunos, singapore 419000","S$ 1,150,000
  -
  S$ 1,680,000",null
The Orange Grove,"37 Stevens Road, singapore 257844","S$ 5,400,000
  -
  S$ 8,900,000",<20%
The Orchard Residences,"238 Orchard Boulevard, singapore 237973","S$ 5,850,000
  -
  S$ 10,800,000",40%-59%
The Orient,"251 Pasir Panjang Road, singapore 118610","S$ 848,000
  -
  S$ 2,419,999",null
The Palette,"111 Pasir Ris Grove, singapore 518170","S$ 700,000
  -
  S$ 2,800,000",<20%
The Palladium,"20 Brooke Road, singapore 429984",null,40%-59%
The Panorama,"8 Ang Mo Kio Ave 2, singapore 567695","S$ 775,000
  -
  S$ 2,088,000",null
The Peak,"33 Pepys Road, singapore 118454","S$ 7,600,000
  -
  S$ 7,600,000",null
The Peak @ Balmeg,"6 Balmeg Hill, singapore 119910","S$ 1,800,000
  -
  S$ 5,000,000",null
The Peak @ Cairnhill I,"51 Cairnhill Circle, singapore 229784","S$ 1,310,000
  -
  S$ 1,800,000",null
The Poiz Residences,", singapore 000000","S$ 725,000
  -
  S$ 5,300,000",null
The Promenade @ Pelikat,"183 Jalan Pelikat, singapore 537643","S$ 598,888
  -
  S$ 1,500,000",null
The Promont,"63 Cairnhill Circle, singapore 229790","S$ 4,500,000
  -
  S$ 4,650,000",20%-39%
The Reef at King’s Dock,"2 Harbourfront Avenue, singapore 097991","S$ 800,000
  -
  S$ 3,800,000",null
The Residences at W Sentosa Cove,"1 Ocean Way, singapore 098367","S$ 3,480,000
  -
  S$ 5,980,000",null
The Richmond,"7 Saint Michael's Road, singapore 327950",null,60%-79%
The Ritz-Carlton Residences,"65 Cairnhill Road, singapore 229721","S$ 10,354,788
  -
  S$ 40,000,000",null
The Riverside Piazza,"11 Keng Cheow Road, singapore 059608",null,>80%
The Rivervale,"1 Rivervale Link, singapore 545118","S$ 1,135,000
  -
  S$ 1,135,000",<20%
The Santorini,"00 Tampines Street 86, singapore 520000","S$ 650,000
  -
  S$ 1,720,000",null
The Sapphire,"53 Jalan Dusun, singapore 329374",null,null
The Scala @ Lorong Chuan,"138 Serangoon Avenue 3, singapore 554475","S$ 770,000
  -
  S$ 2,500,000",null
The Scotts Tower,"38 Scotts Road, singapore 228240","S$ 1,588,000
  -
  S$ 13,287,322",<20%
The Seafront on Meyer,"57 Meyer Road, singapore 437878","S$ 2,280,000
  -
  S$ 5,500,000",<20%
The Seawind @ Telok Kurau,"00 Lorong M Telok Kurau, singapore 420000","S$ 1,100,000
  -
  S$ 5,555,000",null
The Serennia,"16 Pulasan Road, singapore 424382","S$ 1,350,000
  -
  S$ 1,600,000",20%-39%
The Shore Residences,"81 Amber Road, singapore 439893","S$ 1,020,000
  -
  S$ 2,300,000",<20%
The Sixth Avenue Residences,"160 Sixth Avenue, singapore 276537","S$ 2,880,000
  -
  S$ 4,000,000",<20%
The Skywoods,"11 Dairy Farm Heights, singapore 677661","S$ 750,000
  -
  S$ 1,450,000",<20%
The Solitaire,"5A Balmoral Park, singapore 259829","S$ 3,750,000
  -
  S$ 4,880,000",20%-39%
The Sorrento,"55 West Coast Road, singapore 127365","S$ 799,000
  -
  S$ 1,998,000",<20%
The Sound,"539 East Coast Road, singapore 429069","S$ 1,080,000
  -
  S$ 1,800,000",<20%
The Sovereign,"99 Meyer Road, singapore 437920",null,>80%
The Spectrum,", singapore 117501",null,20%-39%
The Stellar,"20A West Coast Road, singapore 126820","S$ 2,100,000
  -
  S$ 2,600,000",<20%
The Sunnidora,"46 Lor G Telok Kurau, singapore 426223",null,40%-59%
The Sunniflora,"48 Lor G Telok Kurau, singapore 426231",null,40%-59%
The Tapestry,"59 Tampines Street 86, singapore 528509","S$ 720,000
  -
  S$ 2,250,000",null
The Tembusu,"107D Tampines Road, singapore 534006","S$ 828,000
  -
  S$ 2,480,000",<20%
The Tennery,"3A Woodlands Road, singapore 677727","S$ 700,000
  -
  S$ 1,210,000",<20%
The Tier,"28 Pegu Road, singapore 328373","S$ 750,000
  -
  S$ 850,000",20%-39%
The Tre Ver,"60 Potong Pasir Avenue 1, singapore 358391","S$ 700,000
  -
  S$ 2,500,000",null
The Tresor,"26 Duchess Road, singapore 269029",null,20%-39%
The Trilinq,"00 Jalan Lempeng, singapore 120000","S$ 840,000
  -
  S$ 5,436,260",null
The Trillium,"112 Kim Seng Road, singapore 239432","S$ 5,500,000
  -
  S$ 20,000,000",<20%
The Trillium,"112 Kim Seng Road, singapore 239432","S$ 5,500,000
  -
  S$ 20,000,000",<20%
The Trizon,"2 Ridgewood Close, singapore 276693","S$ 1,920,000
  -
  S$ 4,800,000",<20%
The Tropic Gardens,"332 Upper East Coast Road, singapore 466456",null,60%-79%
The Twins,"6 Balmoral Crescent, singapore 259896",null,40%-59%
The Urbanite,"29 Hertford Road, singapore 219384","S$ 1,188,000
  -
  S$ 1,850,000",<20%
The Vanderlint,"87 Ceylon Road, singapore 429665","S$ 850,000
  -
  S$ 850,000",<20%
The Verandah Residences,"227 Pasir Panjang Road, singapore 117341","S$ 913,000
  -
  S$ 3,980,000",null
The Verte,"118 Lorong H Telok Kurau, singapore 426146",null,<20%
The Verv @ RV,"348 River Valley Road, singapore 238374","S$ 2,800,000
  -
  S$ 3,100,000",20%-39%
The Verve,"23 Jalan Rajah Road, singapore 329138","S$ 830,000
  -
  S$ 1,980,000",<20%
The Viridian,"6 Jalan Ampas, singapore 329507","S$ 815,000
  -
  S$ 4,280,000",<20%
The Vision,"73 West Coast Crescent, singapore 126790","S$ 1,180,000
  -
  S$ 3,600,000",<20%
The Vue,"355 Upper Paya Lebar Road, singapore 534958","S$ 620,000
  -
  S$ 1,389,000",<20%
The Water Edge @ Geylang,"8 Lorong 38 Geylang, singapore 398106","S$ 599,999
  -
  S$ 1,500,000",null
The Watercrest,"0 Loyang Besar Close, singapore 509000","S$ 1,050,000
  -
  S$ 1,299,413",null
The Waterdale,"118 Garlick Avenue, singapore 275991",null,null
The WaterGardens @ Canberra,"47 Canberra Drive, singapore 752106","S$ 799,900
  -
  S$ 2,045,000",null
