name,address,price_range,enbloc,lat,lng,valid postal,distToMrt,distToSch
Brookvale Park,"2 Brookvale Walk, singapore 599952",null,>80%,undefined,undefined,0,,
Brookvale Park,"2 Brookvale Walk, singapore 599952",null,>80%,undefined,undefined,0,,
Buckley Classique,", singapore 309741","S$ 3,200,000
  -
  S$ 7,600,000",<20%,1.316571293,103.839865,99,,
Bukit 828,"828 Upper Bukit Timah Road, singapore 678155","S$ 1,280,000
  -
  S$ 2,300,000",null,1.373835917,103.7631248,99,,
Bukit Regency,"1 Upper Bukit Timah View, singapore 588132",null,60%-79%,1.347134741,103.7709394,99,,
Buona Lodge,"1 Zehnder Road, singapore 117686",null,>80%,1.281686596,103.7867231,99,,
Buona Vista Gardens,"2 Zehnder Road, singapore 117687","S$ 1,800,000
  -
  S$ 1,800,000",null,1.282517083,103.7869104,99,,
Butterworth 8,"4 Butterworth Lane, singapore 439421","S$ 1,820,000
  -
  S$ 2,600,000",20%-39%,1.311859429,103.8949715,99,,
Butterworth 8,"4 Butterworth Lane, singapore 439421","S$ 1,820,000
  -
  S$ 2,600,000",20%-39%,1.311859429,103.8949715,99,,
Cai Gardens,"3 3 Foo Kim Lin Road, singapore 419679",null,null,1.328865892,103.907194,99,,
Cairnhill 16,"16 Cairnhill Rise, singapore 229744","S$ 1,998,900
  -
  S$ 6,627,200",null,1.308510308,103.8379724,99,,
Cairnhill Astoria,"6A Cairnhill Rise, singapore 229742",null,>80%,1.307031315,103.8394459,99,,
Cairnhill Nine,"15 Cairnhill Road, singapore 229650","S$ 1,738,000
  -
  S$ 4,658,000",<20%,undefined,undefined,0,,
Calisay,"391 Upper Paya Lebar Road, singapore 534981",null,null,1.350308102,103.8790556,99,,
Camay Court,"63 Lorong M Telok Kurau, singapore 425364",null,null,1.311500873,103.9141164,99,,
Cambridge Village,"2a Cambridge Road, singapore 219679",null,>80%,1.313194528,103.847446,99,,
Camden Park,"1-27 Camden Park, singapore 299791",null,null,1.327497799,103.8142698,99,,
Camelia Park,"137 Tamarind Road, singapore 806084",null,null,1.389003016,103.8599546,99,,
Camellia Lodge,"31 Lor 31 Geylang, singapore 388030",null,60%-79%,1.31535537,103.8865359,99,,
Camelodge,"106 Upper East Coast Road, singapore 455296","S$ 2,050,000
  -
  S$ 2,050,000",>80%,1.313169526,103.9293061,99,,
Camwood Park,"8D Gallop Road, singapore 258970",null,null,1.315045083,103.8114135,99,,
Canary Ville,"138 Lorong J Telok Kurau, singapore 423484",null,40%-59%,1.314630664,103.9144449,99,,
Canberlin Apartments,"60 Lorong 16 Geylang, singapore 398887","S$ 1,300,000
  -
  S$ 1,300,000",40%-59%,1.310684449,103.8798347,99,,
Canberlin Lodge,"69 Lorong 6 Geylang, singapore 399221",null,40%-59%,1.309446409,103.8769289,99,,
Canberra (parcel b),"Canberra Drive, singapore 752106",null,null,1.448038852,103.8332289,99,,
Canberra Residences,"501 Canberra Drive, singapore 768124","S$ 688,000
  -
  S$ 1,800,000",<20%,1.444479549,103.8254373,99,,
Candeville,"37 Lorong M Telok Kurau, singapore 425316",null,>80%,1.310947667,103.9106399,99,,
Cannaville,"34 Duku Road, singapore 429192",null,>80%,1.309112821,103.9054366,99,,
Canne Ville,"6 Lorong 3 Geylang, singapore 399168",null,null,undefined,undefined,0,,
Canninghill Piers,"177 River Valley Road, singapore 179030",null,null,undefined,undefined,0,,
Canninghill Square,"177 River Valley Road, singapore 179030","S$ 2,180,000
  -
  S$ 12,000,000",null,undefined,undefined,0,,
Cantiz @ Rambai,"21 Rambai Road, singapore 424340",null,20%-39%,1.310888892,103.9058693,99,,
Cape Royale,"00 Cove Way, singapore 098000",null,null,1.264129401,103.8170288,99,,
Carabelle,"51 West Coast Way, singapore 127015","S$ 1,350,000
  -
  S$ 1,750,000",<20%,1.318025481,103.7562895,99,,
Cardiff Court,"101-103 Cardiff Grove, singapore 558961",null,null,1.355172365,103.8664471,99,,
Cardiff Residence,"101 Cardiff Grove, singapore 558961","S$ 625,000
  -
  S$ 1,800,000",<20%,1.355172365,103.8664471,99,,
Carpmael Thirty-Eight,"38 Carpmael Rd, singapore 429781","S$ 2,260,000
  -
  S$ 2,260,000",null,1.313157201,103.8978037,99,,
